tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
SD2	Zalawt plain	SD2-1	SD2-1	735	726	Ma		mt	290.7	-57.7		1.0	1.0	1.0	0.0	t		0.0	17.052	54.8509	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	264.2	193.9	4.7	282.3
SD20	Zalawt plain	SD20-1:SD20-2:SD20-4	SD20-1:SD20-2:SD20-4	735	726	Ma	10.6	mag	290.4	-79.0	137.0	3.0	3.0	3.0	0.0	t	2.9854	0.0	17.0592	54.9019	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM:FS-LOC-GPS	g	20.1	19.1	-8.8	255.0
SD20	Zalawt plain	SD20-2:SD20-3:SD20-4	SD20-2:SD20-3:SD20-4	735	726	Ma	17.9	mt	301.0	-76.2	48.0	3.0	3.0	3.0	0.0	t	2.9587	0.0	17.0592	54.9019	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	33.1	30.6	-2.7	257.1
SD21	Zalawt plain	SD21-1:SD21-2:SD21-4	SD21-1:SD21-2:SD21-4	735	726	Ma	19.0	lt	2.1	19.1	43.0	3.0	3.0	3.0	0.0	n	2.9536	0.0	17.0633	54.8608	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	19.8	10.3	82.4	219.0
SD21	Zalawt plain	SD21-1:SD21-2	SD21-1:SD21-2	735	726	Ma	42.6	mag	282.5	-65.0	37.0	2.0	2.0	2.0	0.0	t	1.9727	0.0	17.0633	54.8608	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	68.7	55.5	-4.2	276.8
SD22	Zalawt plain	SD22-1:SD22-2:SD22-3	SD22-1:SD22-2:SD22-3	735	726	Ma	23.7	lt	8.1	25.2	28.0	3.0	3.0	3.0	0.0	n	2.929	0.0	17.0644	54.8614	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	25.5	13.7	81.3	170.1
SD22	Zalawt plain	SD22-1	SD22-1	735	726	Ma		mt	330.6	-51.0		1.0	1.0	1.0	0.0	t		0.0	17.0644	54.8614	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	243.4	164.5	33.6	265.0
SD24	Zalawt plain	SD24-1	SD24-1	735	726	Ma		mag	254.5	-70.0		1.0	1.0	1.0	0.0	t		0.0	17.0344	54.8331	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	309.7	266.5	-22.8	272.9
SD24	Zalawt plain	SD24-3	SD24-3	735	726	Ma		lt	348.1	40.7		1.0	1.0	1.0	0.0	n		0.0	17.0344	54.8331	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	218.1	132.1	77.2	355.8
SD24	Zalawt plain	SD24-1	SD24-1	735	726	Ma		mt	313.6	-78.1		1.0	1.0	1.0	0.0	t		0.0	17.0344	54.8331	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	339.0	319.3	-0.9	251.2
SD25	Zalawt plain	SD25-1:SD25-3	SD25-1:SD25-3	735	726	Ma	14.7	lt	353.3	17.2	290.0	2.0	2.0	2.0	0.0	n	1.9965	0.0	17.0336	54.8353	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	15.2	7.9	79.4	273.9
SD25	Zalawt plain	SD25-1:SD25-3	SD25-1:SD25-3	735	726	Ma	59.8	mt	285.6	-39.8	20.0	2.0	2.0	2.0	0.0	t	1.949	0.0	17.0336	54.8353	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	71.9	43.2	7.1	298.5
SD25	Zalawt plain	SD25-1:SD25-3	SD25-1:SD25-3	735	726	Ma	63.0	mag	288.1	-64.9	18.0	2.0	2.0	2.0	0.0	t	1.9442	0.0	17.0336	54.8353	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	101.5	81.8	-0.7	275.4
SD26	Zalawt plain	SD26-1:SD26-2:SD26-3	SD26-1:SD26-2:SD26-3	735	726	Ma	18.5	lt	11.9	20.6	46.0	3.0	3.0	3.0	0.0	n	2.9562	0.0	17.0358	54.8361	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	19.4	10.2	76.8	172.6
SD26	Zalawt plain	SD26-2:SD26-3:SD26-4	SD26-2:SD26-3:SD26-4	735	726	Ma	34.5	mag	232.9	-57.9	14.0	3.0	3.0	3.0	0.0	r	2.8553	0.0	17.0358	54.8361	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM:FS-LOC-GPS	g	50.8	37.4	-39.4	288.7
SD26	Zalawt plain	SD26-2:SD26-3	SD26-2:SD26-3	735	726	Ma	56.4	mt	280.2	-58.3	22.0	2.0	2.0	2.0	0.0	t	1.9541	0.0	17.0358	54.8361	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	83.4	61.7	-3.1	284.9
SD27	Zalawt plain	SD27-2	SD27-2	735	726	Ma		lt	6.9	30.6		1.0	1.0	1.0	0.0	n		0.0	17.0367	54.835	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	200.5	111.7	83.4	149.3
SD27	Zalawt plain	SD27-1:SD27-2:SD27-3	SD27-1:SD27-2:SD27-3	735	726	Ma	40.9	mag	54.5	36.0	10.0	3.0	3.0	3.0	0.0	n	2.8029	0.0	17.0367	54.835	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM:FS-LOC-GPS	g	47.5	27.6	38.5	132.7
SD27	Zalawt plain	SD27-1:SD27-3	SD27-1:SD27-3	735	726	Ma	72.7	mt	49.0	32.1	14.0	2.0	2.0	2.0	0.0	n	1.9286	0.0	17.0367	54.835	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	81.9	46.1	43.3	136.8
SD28	Zalawt plain	SD28-1:SD28-2:SD28-3	SD28-1:SD28-2:SD28-3	735	726	Ma	5.7	mag	270.7	-59.8	469.0	3.0	3.0	3.0	0.0	t	2.9957	0.0	17.0681	54.8658	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	8.6	6.5	-10.5	285.4
SD29	Zalawt plain	SD29-1:SD29-2:SD29-3	SD29-1:SD29-2:SD29-3	735	726	Ma	16.7	mag	269.6	-57.9	55.0	3.0	3.0	3.0	0.0	t	2.964	0.0	17.0683	54.8661	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM:FS-LOC-GPS	g	24.6	18.1	-10.9	287.7
SD29	Zalawt plain	SD29-1:SD29-2:SD29-3	SD29-1:SD29-2:SD29-3	735	726	Ma	17.8	mt	277.8	-56.2	49.0	3.0	3.0	3.0	0.0	t	2.9592	0.0	17.0683	54.8661	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	25.6	18.5	-4.1	287.6
SD3	Zalawt plain	SD3-1	SD3-1	735	726	Ma		mt	324.4	-32.3		1.0	1.0	1.0	0.0	n		0.0	17.0517	54.8503	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	203.0	114.5	40.7	282.0
SD3	Zalawt plain	SD3-1:SD3-2:SD3-3	SD3-1:SD3-2:SD3-3	735	726	Ma	15.7	mag	279.5	-59.9	63.0	3.0	3.0	3.0	0.0	t	2.9681	0.0	17.0517	54.8503	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	23.7	17.9	-4.2	283.4
SD3	Zalawt plain	SD3-1:SD3-2:SD3-3	SD3-1:SD3-2:SD3-3	735	726	Ma	18.9	lt	349.0	11.9	43.0	3.0	3.0	3.0	0.0	n	2.954	0.0	17.0517	54.8503	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	19.2	9.8	74.6	280.3
SD30	Zalawt plain	SD30-3	SD30-3	735	726	Ma		mt	85.3	62.0		1.0	1.0	1.0	0.0	t		0.0	17.0667	54.8706	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	279.3	216.7	15.0	103.6
SD30	Zalawt plain	SD30-1:SD30-2:SD30-3	SD30-1:SD30-2:SD30-3	735	726	Ma	12.5	lt	355.9	24.4	99.0	3.0	3.0	3.0	0.0	n	2.9797	0.0	17.0667	54.8706	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	13.4	7.2	84.1	278.0
SD31	Zalawt plain	SD31-1:SD31-2:SD31-3	SD31-1:SD31-2:SD31-3	735	726	Ma	16.7	mag	290.5	-58.5	56.0	3.0	3.0	3.0	0.0	t	2.964	0.0	17.0661	54.8717	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM:FS-LOC-GPS	g	24.8	18.4	4.2	281.6
SD31	Zalawt plain	SD31-2	SD31-2	735	726	Ma		mt	316.9	-42.9		1.0	1.0	1.0	0.0	t		0.0	17.0661	54.8717	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	222.8	137.9	30.6	280.9
SD31	Zalawt plain	SD31-1:SD31-2	SD31-1:SD31-2	735	726	Ma	180.0	lt	9.4	24.6	6.0	2.0	2.0	2.0	0.0	n	1.8458	0.0	17.0661	54.8717	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	193.0	103.4	80.0	168.5
SD32	Zalawt plain	SD32-1:SD32-2:SD32-3	SD32-1:SD32-2:SD32-3	735	726	Ma	10.4	lt	353.4	13.6	142.0	3.0	3.0	3.0	0.0	n	2.9859	0.0	17.0661	54.8733	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	10.6	5.4	77.9	268.0
SD32	Zalawt plain	SD32-1:SD32-2:SD32-3	SD32-1:SD32-2:SD32-3	735	726	Ma	19.7	mag	296.4	-49.8	40.0	3.0	3.0	3.0	0.0	t	2.9504	0.0	17.0661	54.8733	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM:FS-LOC-GPS	g	26.3	17.5	12.5	287.0
SD33	Zalawt plain	SD33-1:SD33-2:SD33-3	SD33-1:SD33-2:SD33-3	735	726	Ma	26.0	lt	359.9	35.7	24.0	3.0	3.0	3.0	0.0	n	2.9149	0.0	17.0694	54.8756	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	30.1	17.5	87.3	52.9
SD33	Zalawt plain	SD33-2	SD33-2	735	726	Ma		mt	270.5	-52.8		1.0	1.0	1.0	0.0	t		0.0	17.0694	54.8756	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	248.6	171.7	-8.9	292.6
SD33	Zalawt plain	SD33-2:SD33-3	SD33-2:SD33-3	735	726	Ma	180.0	mag	45.5	-32.5	1.0	2.0	2.0	2.0	0.0	t	0.4902	0.0	17.0694	54.8756	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:FS-LOC-GPS	g	203.4	114.9	33.3	180.5
SD34	Zalawt plain	SD34-1:SD34-2:SD34-3	SD34-1:SD34-2:SD34-3	735	726	Ma	9.0	lt	7.3	26.6	187.0	3.0	3.0	3.0	0.0	n	2.9893	0.0	17.07	54.8756	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	9.8	5.3	82.3	167.3
SD34	Zalawt plain	SD34-1:SD34-2:SD34-3	SD34-1:SD34-2:SD34-3	735	726	Ma	14.4	mag	277.3	-61.6	74.0	3.0	3.0	3.0	0.0	t	2.973	0.0	17.07	54.8756	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM:FS-LOC-GPS	g	22.2	17.2	-6.3	282.0
SD34	Zalawt plain	SD34-1:SD34-3	SD34-1:SD34-3	735	726	Ma	180.0	mt	117.5	-27.4	1.0	2.0	2.0	2.0	0.0	t	0.6464	0.0	17.07	54.8756	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	196.3	107.0	-30.1	152.1
SD35	Zalawt plain	SD35-2:SD35-3	SD35-2:SD35-3	735	726	Ma	11.4	mag	282.1	-64.0	484.0	2.0	2.0	2.0	0.0	t	1.9979	0.0	17.0703	54.8775	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:FS-LOC-GPS	g	18.2	14.5	-4.0	278.1
SD35	Zalawt plain	SD35-3	SD35-3	735	726	Ma		mt	334.3	-71.8		1.0	1.0	1.0	0.0	t		0.0	17.0703	54.8775	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	316.6	278.5	13.2	249.1
SD35	Zalawt plain	SD35-1:SD35-2:SD35-3	SD35-1:SD35-2:SD35-3	735	726	Ma	20.0	lt	17.9	27.9	39.0	3.0	3.0	3.0	0.0	n	2.9487	0.0	17.0703	54.8775	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	21.9	12.0	72.6	149.9
SD36	Zalawt plain	SD36-1:SD36-2:SD36-3	SD36-1:SD36-2:SD36-3	735	726	Ma	12.5	mag	257.0	-47.7	99.0	3.0	3.0	3.0	0.0	t	2.9798	100.0	17.1411	54.9578	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO:FS-LOC-GPS	g	16.3	10.6	-19.3	299.7
SD36	Zalawt plain	SD36-1:SD36-2:SD36-3	SD36-1:SD36-2:SD36-3	735	726	Ma	13.6	mt	254.4	-48.1	83.0	3.0	3.0	3.0	0.0	t	2.9758	100.0	17.1411	54.9578	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO:FS-LOC-GPS	g	17.8	11.6	-21.6	299.7
SD36	Zalawt plain	SD36-1:SD36-2:SD36-3	SD36-1:SD36-2:SD36-3	735	726	Ma	13.6	mt	260.6	-46.2	83.0	3.0	3.0	3.0	0.0	t	2.976	0.0	17.1411	54.9578	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	17.4	11.2	-15.9	300.4
SD36	Zalawt plain	SD36-2	SD36-2	735	726	Ma		lt	345.3	23.3		1.0	1.0	1.0	0.0	n		0.0	17.1411	54.9578	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	191.6	102.0	74.9	307.7
SD36	Zalawt plain	SD36-1:SD36-2:SD36-3	SD36-1:SD36-2:SD36-3	735	726	Ma	12.5	mag	263.1	-45.6	99.0	3.0	3.0	3.0	0.0	t	2.9797	0.0	17.1411	54.9578	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	15.9	10.1	-13.6	300.4
SD36	Zalawt plain	SD36-2	SD36-2	735	726	Ma		lt	344.7	17.4		1.0	1.0	1.0	0.0	n		100.0	17.1411	54.9578	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	186.4	96.5	73.0	298.0
SD37	Zalawt plain	SD37-3	SD37-3	735	726	Ma		mag	93.3	48.5		1.0	1.0	1.0	0.0	t		0.0	17.1411	54.9578	Igneous	Volcanic Dike	Felsic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	236.5	155.4	5.6	115.7
SD37	Zalawt plain	SD37-2:SD37-3	SD37-2:SD37-3	735	726	Ma	3.2	lt	356.7	22.8	6004.0	2.0	2.0	2.0	0.0	n	1.9998	0.0	17.1411	54.9578	Igneous	Volcanic Dike	Felsic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	3.4	1.8	83.9	266.7
SD37	Zalawt plain	SD37-3	SD37-3	735	726	Ma		mag	87.0	51.7		1.0	1.0	1.0	0.0	t		100.0	17.1411	54.9578	Igneous	Volcanic Dike	Felsic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	245.4	167.3	11.5	114.3
SD37	Zalawt plain	SD37-2:SD37-3	SD37-2:SD37-3	735	726	Ma	3.3	lt	355.7	17.3	5627.0	2.0	2.0	2.0	0.0	n	1.9998	100.0	17.1411	54.9578	Igneous	Volcanic Dike	Felsic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	3.4	1.8	80.8	262.3
SD38	Zalawt plain	SD38-1:SD38-2:SD38-3	SD38-1:SD38-2:SD38-3	735	726	Ma	9.4	mag	273.9	-46.8	173.0	3.0	3.0	3.0	0.0	t	2.9885	0.0	17.1397	54.9622	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	12.1	7.8	-4.6	297.0
SD38	Zalawt plain	SD38-1:SD38-2:SD38-3	SD38-1:SD38-2:SD38-3	735	726	Ma	9.4	mag	268.1	-50.0	175.0	3.0	3.0	3.0	0.0	t	2.9885	100.0	17.1397	54.9622	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO:FS-LOC-GPS	g	12.6	8.4	-10.2	295.6
SD39	Zalawt plain	SD39-4	SD39-4	735	726	Ma		mht	47.4	29.2		1.0	1.0	1.0	0.0	n		100.0	17.1394	54.9625	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	198.6	109.6	44.6	139.6
SD39	Zalawt plain	SD39-4	SD39-4	735	726	Ma		mag	256.7	-44.4		1.0	1.0	1.0	0.0	t		100.0	17.1394	54.9625	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	226.3	142.2	-19.1	302.5
SD39	Zalawt plain	SD39-4	SD39-4	735	726	Ma		mht	50.8	30.3		1.0	1.0	1.0	0.0	n		0.0	17.1394	54.9625	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	200.1	111.2	41.5	138.0
SD39	Zalawt plain	SD39-4	SD39-4	735	726	Ma		mag	262.1	-42.3		1.0	1.0	1.0	0.0	t		0.0	17.1394	54.9625	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	221.5	136.3	-14.0	303.2
SD39	Zalawt plain	SD39-1:SD39-2:SD39-3:SD39-4	SD39-1:SD39-2:SD39-3:SD39-4	735	726	Ma	16.1	lt	1.7	27.8	34.0	4.0	4.0	4.0	0.0	n	3.9105	0.0	17.1394	54.9625	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	17.6	9.6	87.2	199.6
SD39	Zalawt plain	SD39-1:SD39-2:SD39-3:SD39-4	SD39-1:SD39-2:SD39-3:SD39-4	735	726	Ma	16.1	lt	0.2	22.6	33.0	4.0	4.0	4.0	0.0	n	3.9103	100.0	17.1394	54.9625	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO:FS-LOC-GPS	g	17.1	9.1	84.7	232.8
SD4	Zalawt plain	SD4-2	SD4-2	735	726	Ma		lt	358.0	29.4		1.0	1.0	1.0	0.0	n		0.0	17.0519	54.8565	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	198.9	109.9	87.6	289.7
SD4	Zalawt plain	SD4-2	SD4-2	735	726	Ma		mht	60.1	53.3		1.0	1.0	1.0	0.0	t		0.0	17.0519	54.8565	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	250.1	173.8	34.0	115.2
SD4	Zalawt plain	SD4-1:SD4-2:SD4-3	SD4-1:SD4-2:SD4-3	735	726	Ma	28.6	mt	278.1	-64.2	20.0	3.0	3.0	3.0	0.0	t	2.8985	0.0	17.0519	54.8565	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	45.7	36.5	-6.8	278.8
SD4	Zalawt plain	SD4-1:SD4-2:SD4-3	SD4-1:SD4-2:SD4-3	735	726	Ma	10.0	mag	258.2	-64.6	152.0	3.0	3.0	3.0	0.0	t	2.9868	0.0	17.0519	54.8565	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	16.1	12.9	-20.4	280.9
