tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
S104	Zalawt plain	S104-5:S104-6	S104-5:S104-6	735	726	Ma	5.9	lt	351.4	31.7	1772.0	2.0	2.0	2.0	0.0	n	1.9994	100.0	17.1219	54.9242	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	6.6	3.7	81.8	326.6
S104	Zalawt plain	S104-2:S104-3:S104-4:S104-5:S104-6	S104-2:S104-3:S104-4:S104-5:S104-6	735	726	Ma	5.2	mag	71.4	55.8	217.0	5.0	5.0	5.0	0.0	t	4.9815	100.0	17.1219	54.9242	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO:FS-LOC-GPS	g	7.5	5.3	24.8	112.2
S105	Zalawt plain			735	726	Ma													17.1219	54.924	Igneous	Volcanic Dike	Mafic Dike			This study	FS-LOC-GPS					
S106	Zalawt plain	S106-5	S106-5	735	726	Ma		lt	2.7	28.4		1.0	1.0	1.0	0.0	n		100.0	17.1171	54.9346	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	197.5	108.4	86.7	181.8
S106	Zalawt plain	S106-5	S106-5	735	726	Ma		mag	78.6	60.3		1.0	1.0	1.0	0.0	t		100.0	17.1171	54.9346	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	273.2	207.3	19.6	106.4
S106	Zalawt plain	S106-5	S106-5	735	726	Ma		lt	4.8	33.4		1.0	1.0	1.0	0.0	n		0.0	17.1171	54.9346	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	204.8	116.5	85.3	130.1
S106	Zalawt plain	S106-5	S106-5	735	726	Ma		mag	87.9	57.8		1.0	1.0	1.0	0.0	t		0.0	17.1171	54.9346	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	264.5	194.4	12.1	108.1
S107	Zalawt plain	S107-1	S107-1	735	726	Ma		mag	269.4	-52.9		1.0	1.0	1.0	0.0	t		0.0	17.1169	54.9329	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	248.9	172.1	-9.8	292.7
S107	Zalawt plain	S107-1	S107-1	735	726	Ma		mag	261.8	-55.6		1.0	1.0	1.0	0.0	t		100.0	17.1169	54.9329	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	257.3	183.9	-16.5	291.4
S19B	Zalawt plain	S19B-16:S19B-17:S19B-19:S19B-20:S19B-21	S19B-16:S19B-17:S19B-19:S19B-20:S19B-21	815	780	Ma	11.6	mt	274.7	-60.8	45.0	5.0	5.0	5.0	0.0	t	4.9103	0.0	17.0586	54.9029	Metamorphic	Baked Contact	Amphibolite		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	17.7	13.5	-7.9	283.5
S19B	Zalawt plain	S19B-7	S19B-7	815	780	Ma		mht	53.4	84.0		1.0	1.0	1.0	0.0	t		0.0	17.0586	54.9029	Metamorphic	Baked Contact	Amphibolite		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	354.2	348.6	23.9	65.3
S19B	Zalawt plain	S19B-1:S19B-12:S19B-13:S19B-14:S19B-15:S19B-2:S19B-22:S19B-3:S19B-4:S19B-5	S19B-1:S19B-12:S19B-13:S19B-14:S19B-15:S19B-2:S19B-22:S19B-3:S19B-4:S19B-5	815	780	Ma	30.3	mag	279.5	-55.9	4.0	10.0	10.0	10.0	0.0	t	7.4333	0.0	17.0586	54.9029	Metamorphic	Baked Contact	Amphibolite		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM:FS-LOC-GPS	g	43.5	31.2	-2.7	287.5
