tab	specimens
analysts	aniso_f	aniso_l	aniso_p	aniso_s	aniso_s_n_measurements	aniso_t	aniso_type	azimuth	citations	contribution_id	critical_temp	critical_temp_high	critical_temp_low	critical_temp_mineral	critical_temp_type	description	dip	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	hyst_bc	hyst_bc_offset	hyst_bcr	hyst_loop	hyst_mr_mass	hyst_ms_mass	hyst_xhf	igsn	igsn_parent	instrument_codes	int_corr	meas_orient_phi	meas_orient_theta	meas_step_max	meas_step_min	meas_step_unit	meas_temp	method_codes	mineral_type	rem_hirm_mass	rem_sratio	rem_sratio_back	rem_sratio_forward	result_quality	row_id	sample	software_packages	specimen	synthetic_alternatives	volume	weight
									This study										mag	0.0	15.1	56.1	3.4	2.0	15.0	0.0	AynC-13_LP-DIR-T										hargrave 2023-10-10 17:02:41	u			863.0	753.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-13	pmagpy-4.2.124: demag_gui	AynC-13			
									This study										mag	0.0	226.5	47.3	2.4	2.0	10.0	0.0	AynC-14_LP-DIR-T										hargrave 2023-10-16 18:47:58	u			850.0	793.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-14	pmagpy-4.2.124: demag_gui	AynC-14			
									This study										lt	20.8	2.3	26.5	1.7	2.0	4.0	0.0	AynC-14_LP-DIR-T										hargrave 2023-10-16 18:47:58	u			473.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-14	pmagpy-4.2.124: demag_gui	AynC-14			
									This study										mag	7.7	334.1	-0.2	3.6	3.0	7.0	0.0	AynC-15_LP-DIR-T										hargrave 2023-09-26 15:23:07	u			823.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-15	pmagpy-4.2.124: demag_gui	AynC-15			
									This study										mt	94.2	74.5	46.3	19.6	3.0	5.0	0.0	AynC-15_LP-DIR-T										hargrave 2023-09-26 15:23:07	u			653.0	573.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-15	pmagpy-4.2.124: demag_gui	AynC-15			
									This study										lt	3.5	354.2	37.7	9.6	3.0	6.0	0.0	AynC-15_LP-DIR-T										hargrave 2023-09-26 15:23:07	u			523.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-15	pmagpy-4.2.124: demag_gui	AynC-15			
									This study										mt	4.6	94.1	19.2	7.5	3.0	5.0	0.0	AynC-16_LP-DIR-T										hargrave 2023-10-16 18:49:28	u			613.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-16	pmagpy-4.2.124: demag_gui	AynC-16			
									This study										lt	35.8	22.3	29.5	5.1	3.0	4.0	0.0	AynC-16_LP-DIR-T										hargrave 2023-10-16 18:49:28	u			473.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-16	pmagpy-4.2.124: demag_gui	AynC-16			
									This study										mag	0.0	126.6	7.7	6.4	3.0	11.0	0.0	AynC-16_LP-DIR-T										hargrave 2023-10-16 18:49:28	u			863.0	793.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-16	pmagpy-4.2.124: demag_gui	AynC-16			
									This study										mt	12.6	348.0	38.1	5.5	3.0	5.0	0.0	AynC-17_LP-DIR-T										hargrave 2023-10-06 15:31:55	u			613.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-17	pmagpy-4.2.124: demag_gui	AynC-17			
									This study										mag	0.0	305.8	17.3	7.3	3.0	17.0	0.0	AynC-17_LP-DIR-T										hargrave 2023-10-06 15:31:55	u			845.0	673.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-17	pmagpy-4.2.124: demag_gui	AynC-17			
									This study										lt	9.2	356.2	25.0	3.6	3.0	3.0	0.0	AynC-17_LP-DIR-T										hargrave 2023-10-06 15:31:55	u			373.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-17	pmagpy-4.2.124: demag_gui	AynC-17			
									This study										mt	23.5	26.4	35.7	2.0	3.0	5.0	0.0	AynC-2_LP-DIR-T										hargrave 2023-10-06 09:38:31	u			613.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-2	pmagpy-4.2.124: demag_gui	AynC-2			
									This study										lt	13.9	8.7	28.8	2.2	3.0	4.0	0.0	AynC-2_LP-DIR-T										hargrave 2023-10-06 09:38:31	u			473.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-2	pmagpy-4.2.124: demag_gui	AynC-2			
									This study										mag	0.0	278.6	-23.8	6.0	3.0	17.0	0.0	AynC-2_LP-DIR-T										hargrave 2023-10-06 09:38:31	u			845.0	653.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-2	pmagpy-4.2.124: demag_gui	AynC-2			
									This study										mt	16.7	56.6	14.1	2.8	3.0	7.0	0.0	AynC-3_LP-DIR-T										hargrave 2023-11-02 09:29:50	u			653.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-3	pmagpy-4.2.124: demag_gui	AynC-3			
									This study										mag	61.5	322.9	-1.5	11.1	3.0	18.0	0.0	AynC-3_LP-DIR-T										hargrave 2023-11-02 09:29:50	u			863.0	673.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-3	pmagpy-4.2.124: demag_gui	AynC-3			
									This study										lt	29.2	0.1	21.9	1.0	3.0	3.0	0.0	AynC-3_LP-DIR-T										hargrave 2023-11-02 09:29:50	u			373.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-3	pmagpy-4.2.124: demag_gui	AynC-3			
									This study										mag	0.0	339.2	13.3	3.3	3.0	16.0	0.0	AynC-4_LP-DIR-T										hargrave 2023-10-10 16:56:44	u			863.0	713.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-4	pmagpy-4.2.124: demag_gui	AynC-4			
									This study										lt	7.2	6.2	21.3	2.3	3.0	4.0	0.0	AynC-4_LP-DIR-T										hargrave 2023-10-10 16:56:44	u			473.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-4	pmagpy-4.2.124: demag_gui	AynC-4			
									This study										mt	29.7	21.4	32.2	5.5	3.0	4.0	0.0	AynC-4_LP-DIR-T										hargrave 2023-10-10 16:56:44	u			613.0	548.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-4	pmagpy-4.2.124: demag_gui	AynC-4			
									This study										lt	35.5	5.4	25.2	1.0	3.0	5.0	0.0	AynC-5_LP-DIR-T										hargrave 2023-10-17 16:16:39	u			498.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-5	pmagpy-4.2.124: demag_gui	AynC-5			
									This study										mag	0.0	187.0	-8.7	2.6	3.0	13.0	0.0	AynC-5_LP-DIR-T										hargrave 2023-10-17 16:16:39	u			863.0	773.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-5	pmagpy-4.2.124: demag_gui	AynC-5			
									This study										mt	42.4	155.9	29.1	31.1	3.0	6.0	0.0	AynC-5_LP-DIR-T										hargrave 2023-10-17 16:16:39	u			673.0	573.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-5	pmagpy-4.2.124: demag_gui	AynC-5			
									This study										mag	54.7	55.2	-40.3	8.7	3.0	12.0	0.0	AynC-6_LP-DIR-T										hargrave 2023-10-17 16:18:12	u			863.0	783.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-6	pmagpy-4.2.124: demag_gui	AynC-6			
									This study										lt	14.0	28.4	23.4	5.5	3.0	4.0	0.0	AynC-6_LP-DIR-T										hargrave 2023-10-17 16:18:12	u			473.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-6	pmagpy-4.2.124: demag_gui	AynC-6			
									This study										mt	15.3	352.1	57.7	4.0	3.0	6.0	0.0	AynC-6_LP-DIR-T										hargrave 2023-10-17 16:18:12	u			673.0	573.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-6	pmagpy-4.2.124: demag_gui	AynC-6			
									This study										lt	2.7	20.8	59.2	5.3	2.0	4.0	0.0	AynC-7_LP-DIR-T										hargrave 2023-10-06 09:47:32	u			473.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-7	pmagpy-4.2.124: demag_gui	AynC-7			
									This study										mag	0.0	53.8	62.0	14.2	2.0	16.0	0.0	AynC-7_LP-DIR-T										hargrave 2023-10-06 09:47:32	u			845.0	673.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-7	pmagpy-4.2.124: demag_gui	AynC-7			
									This study										lt	7.4	5.7	31.4	1.9	1.0	5.0	0.0	AynC-8_LP-DIR-T										hargrave 2023-09-25 16:58:17	u			523.0	77.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-8	pmagpy-4.2.124: demag_gui	AynC-8			
									This study										lt	3.4	12.4	8.3	2.2	2.0	6.0	0.0	AynC-9_LP-DIR-T										hargrave 2023-10-06 09:49:03	u			523.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-9	pmagpy-4.2.124: demag_gui	AynC-9			
									This study										mag	0.0	256.3	7.1	3.7	2.0	16.0	0.0	AynC-9_LP-DIR-T										hargrave 2023-10-06 09:49:03	u			845.0	673.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-9	pmagpy-4.2.124: demag_gui	AynC-9			
									This study										lt	10.4	351.9	29.1	3.4	1.0	3.0	0.0	S100-2_LP-DIR-T										hargrave 2024-07-10 09:45:53	u			423.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S100-2	pmagpy-4.2.124: demag_gui	S100-2			
									This study										lt	10.4	350.7	23.4	3.4	1.0	3.0	100.0	S100-2_LP-DIR-T										hargrave 2024-07-10 09:45:53	u			423.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S100-2	pmagpy-4.2.124: demag_gui	S100-2			
									This study										lt	7.1	359.5	19.4	5.3	1.0	4.0	100.0	S100-3_LP-DIR-T										hargrave 2024-07-16 09:24:51	u			553.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S100-3	pmagpy-4.2.124: demag_gui	S100-3			
									This study										lt	7.1	0.8	24.6	5.3	1.0	4.0	0.0	S100-3_LP-DIR-T										hargrave 2024-07-16 09:24:51	u			553.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S100-3	pmagpy-4.2.124: demag_gui	S100-3			
									This study										mag	1.2	287.0	-67.7	8.2	1.0	10.0	0.0	S101-1_LP-DIR-T										hargrave 2024-07-14 11:59:31	u			863.0	813.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S101-1	pmagpy-4.2.124: demag_gui	S101-1			
									This study										mag	1.2	274.5	-71.8	8.2	1.0	10.0	100.0	S101-1_LP-DIR-T										hargrave 2024-07-14 11:59:31	u			863.0	813.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S101-1	pmagpy-4.2.124: demag_gui	S101-1			
									This study										mag	2.4	277.7	-57.6	6.7	1.0	7.0	0.0	S101-2_LP-DIR-T										hargrave 2024-07-14 12:01:16	u			863.0	833.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S101-2	pmagpy-4.2.124: demag_gui	S101-2			
									This study										mag	2.4	269.1	-61.1	6.7	1.0	7.0	100.0	S101-2_LP-DIR-T										hargrave 2024-07-14 12:01:16	u			863.0	833.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S101-2	pmagpy-4.2.124: demag_gui	S101-2			
									This study										mag	4.0	260.4	-60.6	1.6	1.0	6.0	100.0	S101-3_LP-DIR-T										hargrave 2024-07-11 13:39:08	u			813.0	613.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S101-3	pmagpy-4.2.124: demag_gui	S101-3			
									This study										mag	4.0	269.6	-58.0	1.6	1.0	6.0	0.0	S101-3_LP-DIR-T										hargrave 2024-07-11 13:39:08	u			813.0	613.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S101-3	pmagpy-4.2.124: demag_gui	S101-3			
									This study										mag	3.9	279.0	-74.3	11.7	1.0	10.0	100.0	S103-1_LP-DIR-T										hargrave 2024-07-14 12:04:53	u			863.0	813.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S103-1	pmagpy-4.2.124: demag_gui	S103-1			
									This study										mag	3.9	292.1	-69.9	11.7	1.0	10.0	0.0	S103-1_LP-DIR-T										hargrave 2024-07-14 12:04:53	u			863.0	813.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S103-1	pmagpy-4.2.124: demag_gui	S103-1			
									This study										mag	19.3	287.1	-67.0	19.7	1.0	9.0	0.0	S103-2_LP-DIR-T										hargrave 2024-07-14 12:06:21	u			863.0	823.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S103-2	pmagpy-4.2.124: demag_gui	S103-2			
									This study										mag	19.3	275.1	-71.1	19.7	1.0	9.0	100.0	S103-2_LP-DIR-T										hargrave 2024-07-14 12:06:21	u			863.0	823.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S103-2	pmagpy-4.2.124: demag_gui	S103-2			
									This study										mag	5.5	282.3	-69.2	9.6	1.0	13.0	0.0	S103-3_LP-DIR-T										hargrave 2024-07-14 12:07:47	u			863.0	753.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S103-3	pmagpy-4.2.124: demag_gui	S103-3			
									This study										mag	5.5	267.9	-72.8	9.6	1.0	13.0	100.0	S103-3_LP-DIR-T										hargrave 2024-07-14 12:07:47	u			863.0	753.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S103-3	pmagpy-4.2.124: demag_gui	S103-3			
									This study										mag	4.3	89.7	53.1	4.5	1.0	6.0	0.0	S104-2_LP-DIR-T										hargrave 2024-07-11 20:05:49	u			838.0	793.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S104-2	pmagpy-4.2.124: demag_gui	S104-2			
									This study										mag	4.3	82.0	55.8	4.5	1.0	6.0	100.0	S104-2_LP-DIR-T										hargrave 2024-07-11 20:05:49	u			838.0	793.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S104-2	pmagpy-4.2.124: demag_gui	S104-2			
									This study										mag	3.1	71.3	49.2	2.0	1.0	10.0	0.0	S104-3_LP-DIR-T										hargrave 2024-07-12 18:20:35	u			856.0	793.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S104-3	pmagpy-4.2.124: demag_gui	S104-3			
									This study										mag	3.1	64.2	50.1	2.0	1.0	10.0	100.0	S104-3_LP-DIR-T										hargrave 2024-07-12 18:20:35	u			856.0	793.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S104-3	pmagpy-4.2.124: demag_gui	S104-3			
									This study										mag	2.2	64.6	60.2	1.4	1.0	8.0	100.0	S104-4_LP-DIR-T										hargrave 2024-07-12 11:52:58	u			848.0	793.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S104-4	pmagpy-4.2.124: demag_gui	S104-4			
									This study										mag	2.2	74.9	59.1	1.4	1.0	8.0	0.0	S104-4_LP-DIR-T										hargrave 2024-07-12 11:52:58	u			848.0	793.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S104-4	pmagpy-4.2.124: demag_gui	S104-4			
									This study										mag	1.9	81.6	54.3	7.0	2.0	9.0	0.0	S104-5_LP-DIR-T										hargrave 2024-07-12 11:54:35	u			848.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S104-5	pmagpy-4.2.124: demag_gui	S104-5			
									This study										lt	43.8	349.8	31.7	7.1	2.0	3.0	100.0	S104-5_LP-DIR-T										hargrave 2024-07-12 11:54:35	u			423.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S104-5	pmagpy-4.2.124: demag_gui	S104-5			
									This study										mag	1.9	73.2	56.2	7.0	2.0	9.0	100.0	S104-5_LP-DIR-T										hargrave 2024-07-12 11:54:35	u			848.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S104-5	pmagpy-4.2.124: demag_gui	S104-5			
									This study										lt	43.8	351.4	37.4	7.1	2.0	3.0	0.0	S104-5_LP-DIR-T										hargrave 2024-07-12 11:54:35	u			423.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S104-5	pmagpy-4.2.124: demag_gui	S104-5			
									This study										mag	0.1	81.7	54.1	7.1	2.0	10.0	0.0	S104-6_LP-DIR-T										hargrave 2024-07-12 11:56:12	u			848.0	753.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S104-6	pmagpy-4.2.124: demag_gui	S104-6			
									This study										lt	35.8	354.7	37.3	8.2	2.0	4.0	0.0	S104-6_LP-DIR-T										hargrave 2024-07-12 11:56:12	u			553.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S104-6	pmagpy-4.2.124: demag_gui	S104-6			
									This study										mag	0.1	73.4	56.0	7.1	2.0	10.0	100.0	S104-6_LP-DIR-T										hargrave 2024-07-12 11:56:12	u			848.0	753.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S104-6	pmagpy-4.2.124: demag_gui	S104-6			
									This study										lt	35.8	353.0	31.7	8.2	2.0	4.0	100.0	S104-6_LP-DIR-T										hargrave 2024-07-12 11:56:12	u			553.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S104-6	pmagpy-4.2.124: demag_gui	S104-6			
									This study										lt	48.6	4.8	33.4	6.6	2.0	4.0	0.0	S106-5_LP-DIR-T										hargrave 2024-07-11 10:33:49	u			553.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S106-5	pmagpy-4.2.124: demag_gui	S106-5			
									This study										mag	2.3	87.9	57.8	3.9	2.0	8.0	0.0	S106-5_LP-DIR-T										hargrave 2024-07-11 10:33:49	u			833.0	713.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S106-5	pmagpy-4.2.124: demag_gui	S106-5			
									This study										mag	2.3	78.6	60.3	3.9	2.0	8.0	100.0	S106-5_LP-DIR-T										hargrave 2024-07-11 10:33:49	u			833.0	713.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S106-5	pmagpy-4.2.124: demag_gui	S106-5			
									This study										lt	48.6	2.7	28.4	6.6	2.0	4.0	100.0	S106-5_LP-DIR-T										hargrave 2024-07-11 10:33:49	u			553.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S106-5	pmagpy-4.2.124: demag_gui	S106-5			
									This study										mag	1.6	269.4	-52.9	5.0	1.0	9.0	0.0	S107-1_LP-DIR-T										hargrave 2024-07-12 15:20:15	u			851.0	793.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		S107-1	pmagpy-4.2.124: demag_gui	S107-1			
									This study										mag	1.6	261.8	-55.6	5.0	1.0	9.0	100.0	S107-1_LP-DIR-T										hargrave 2024-07-12 15:20:15	u			851.0	793.0	K		LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW						g		S107-1	pmagpy-4.2.124: demag_gui	S107-1			
									This study										mag	0.0	276.1	-49.4	2.1	2.0	12.0	0.0	S19B-1_LP-DIR-T										hargrave 2023-10-05 16:15:46	u			853.0	713.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		S19B-1	pmagpy-4.2.124: demag_gui	S19B-1			
