tab	specimens
analysts	aniso_f	aniso_l	aniso_p	aniso_s	aniso_s_n_measurements	aniso_t	aniso_type	azimuth	citations	contribution_id	critical_temp	critical_temp_high	critical_temp_low	critical_temp_mineral	critical_temp_type	description	dip	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	hyst_bc	hyst_bc_offset	hyst_bcr	hyst_loop	hyst_mr_mass	hyst_ms_mass	hyst_xhf	igsn	igsn_parent	instrument_codes	int_corr	meas_orient_phi	meas_orient_theta	meas_step_max	meas_step_min	meas_step_unit	meas_temp	method_codes	mineral_type	rem_hirm_mass	rem_sratio	rem_sratio_back	rem_sratio_forward	result_quality	row_id	sample	software_packages	specimen	synthetic_alternatives	volume	weight
								0.0	This Study							Shaat dike	90.0																												LP-MASS:LP-VOL						g		SD38-3		SD18-3r		1e-06	0.00016107
									This Study							Shaat dike																													LP-MASS						g		SD38-3		SD38-3r			0.00010492
									This Study							Shaat dike																													LP-MASS						g		SD47-4		SD47-4r			0.00014614
									This Study							Shaat dike																													LP-MASS						g		SD49-1		SD49-1r			9.634e-05
									This Study							Shaat dike																													LP-MASS						g		SD56-3		SD56-3r			0.00010223
									This Study							Shaat dike																													LP-MASS						g		SD58-1		SD58-1r			0.00017474
									This Study							Shaat dike																													LP-MASS						g		SD90-3		SD90-3r			8.537e-05
									This Study																		IRM-VSM4-LP-HYS-241942	0.01822	-1.507e-05			0.1483	0.765	1.449e-07			IRM-VSM4		0.0	0.0				294.0	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M								SD38-3		SD38-3r			0.0001049
									This Study																		IRM-VSM4-LP-HYS-241945	0.02955	-0.002454			0.0007663	0.001164	1.408e-07			IRM-VSM4		0.0	0.0				294.0	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M								SD47-4		SD47-4r			0.0001461
									This Study																		IRM-VSM4-LP-HYS-241947	0.09139	-0.0007613			0.1414	0.3103	1.595e-07			IRM-VSM4		0.0	0.0				294.0	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M								SD49-1		SD49-1r			9.634e-05
									This Study																		IRM-VSM4-LP-HYS-241949	0.0272	-1.48e-05			0.5108	1.757	1.793e-07			IRM-VSM4		0.0	0.0				294.0	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M								SD56-3		SD56-3r			0.0001022
									This Study																		IRM-VSM4-LP-HYS-241951	0.01933	-2.635e-05			0.1188	0.5107	1.831e-07			IRM-VSM4		0.0	0.0				294.0	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M								SD58-1		SD58-1r			0.0001747
									This Study																		IRM-VSM4-LP-HYS-241954	0.01895	-0.0004704			0.004106	0.01823	1.506e-07			IRM-VSM4		0.0	0.0				294.0	LP-HYS:SM-REG-LIN:SM-SLOPE:LP-HYS-M								SD90-3		SD90-3r			8.537e-05
									This Study																		IRM-VSM4-LP-BCR-BF-241943			0.0339		0.1474					IRM-VSM4		0.0	0.0				294.0	LP-BCR-BF		1.846e-05	0.938	0.1	1.5			SD38-3		SD38-3r			0.0001049
									This Study																		IRM-VSM4-LP-BCR-BF-241946			0.0533		0.0007614					IRM-VSM4		0.0	0.0				294.0	LP-BCR-BF		2.924e-05	0.584	0.1	1.5			SD47-4		SD47-4r			0.0001461
									This Study																		IRM-VSM4-LP-BCR-BF-241948			0.137		0.1409					IRM-VSM4		0.0	0.0				294.0	LP-BCR-BF		0.01804	-0.322	0.1	1.5			SD49-1		SD49-1r			9.634e-05
									This Study																		IRM-VSM4-LP-BCR-BF-241950			0.0426		0.5079					IRM-VSM4		0.0	0.0				294.0	LP-BCR-BF		-0.0001923	0.884	0.1	1.5			SD56-3		SD56-3r			0.0001022
									This Study																		IRM-VSM4-LP-BCR-BF-241952			0.0321		0.1182					IRM-VSM4		0.0	0.0				294.0	LP-BCR-BF		5.07e-06	0.941	0.1	1.5			SD58-1		SD58-1r			0.0001747
									This Study																		IRM-VSM4-LP-BCR-BF-241955			0.036		0.00408					IRM-VSM4		0.0	0.0				294.0	LP-BCR-BF		1.036e-05	0.884	0.1	1.5			SD90-3		SD90-3r			8.537e-05
									This study										lt	8.6	2.8	23.9	1.0	2.0	8.0	0.0	AynC-1_LP-DIR-T										hargrave 2023-10-15 17:59:17	u			573.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-1	pmagpy-4.2.124: demag_gui	AynC-1			
									This study										mag	0.0	207.2	-25.0	2.0	2.0	12.0	0.0	AynC-1_LP-DIR-T										hargrave 2023-10-15 17:59:17	u			863.0	783.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-1	pmagpy-4.2.124: demag_gui	AynC-1			
									This study										mt	3.6	149.9	0.5	1.8	2.0	6.0	0.0	AynC-10_LP-DIR-T										hargrave 2023-11-14 11:15:14	u			593.0	473.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-10	pmagpy-4.2.124: demag_gui	AynC-10			
									This study										mag	5.6	148.9	-4.1	5.5	2.0	13.0	0.0	AynC-10_LP-DIR-T										hargrave 2023-11-14 11:15:14	u			863.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-10	pmagpy-4.2.124: demag_gui	AynC-10			
									This study										mag	0.0	7.8	18.7	8.6	2.0	12.0	0.0	AynC-11_LP-DIR-T										hargrave 2023-09-26 15:15:55	u			823.0	673.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-11	pmagpy-4.2.124: demag_gui	AynC-11			
									This study										lt	7.5	5.5	9.5	3.0	2.0	4.0	0.0	AynC-11_LP-DIR-T										hargrave 2023-09-26 15:15:55	u			473.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-11	pmagpy-4.2.124: demag_gui	AynC-11			
									This study										mag	0.0	38.2	47.8	12.5	2.0	11.0	0.0	AynC-12_LP-DIR-T										hargrave 2023-09-26 15:17:28	u			818.0	673.0	K		LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW						g		AynC-12	pmagpy-4.2.124: demag_gui	AynC-12			
									This study										lt	1.4	15.1	30.3	7.6	2.0	6.0	0.0	AynC-12_LP-DIR-T										hargrave 2023-09-26 15:17:28	u			523.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-12	pmagpy-4.2.124: demag_gui	AynC-12			
									This study										lt	4.0	6.0	31.7	3.3	2.0	6.0	0.0	AynC-13_LP-DIR-T										hargrave 2023-10-10 17:02:41	u			523.0	273.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW						g		AynC-13	pmagpy-4.2.124: demag_gui	AynC-13			
