tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
S103	Zalawt plain	S103-1:S103-2:S103-3	S103-1:S103-2:S103-3	    3.5 	mag	  273.9 	  -72.8 	  1250 	3.0	3 	3 	0 	t	2.9984 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.2 	    5.5 	  -12.5 	  267.4 
S103	Zalawt plain	S103-1:S103-2:S103-3	S103-1:S103-2:S103-3	    3.5 	mag	  287.1 	  -68.7 	  1232 	3.0	3 	3 	0 	t	2.9984 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    5.9 	    5.0 	   -3.4 	  271.0 
S104	Zalawt plain	S104-5:S104-6	S104-5:S104-6	    5.7 	lt	  353.1 	   37.4 	  1906 	2.0	2 	2 	0 	n	1.9995 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	    6.7 	    3.9 	   82.4 	  356.3 
S104	Zalawt plain	S104-2:S104-3:S104-4:S104-5:S104-6	S104-2:S104-3:S104-4:S104-5:S104-6	    5.2 	mag	   79.8 	   54.1 	   216 	5.0	5 	5 	0 	t	4.9815 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    7.3 	    5.1 	   17.8 	  113.2 
S104	Zalawt plain	S104-5:S104-6	S104-5:S104-6	    5.9 	lt	  351.4 	   31.7 	  1772 	2.0	2 	2 	0 	n	1.9994 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	    6.6 	    3.7 	   81.8 	  326.6 
S104	Zalawt plain	S104-2:S104-3:S104-4:S104-5:S104-6	S104-2:S104-3:S104-4:S104-5:S104-6	    5.2 	mag	   71.4 	   55.8 	   217 	5.0	5 	5 	0 	t	4.9815 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    7.5 	    5.3 	   24.8 	  112.2 
S105	Zalawt plain															17.1	54.9										
S106	Zalawt plain	S106-5	S106-5		lt	2.7	28.4		1.0	1	1	0	n		100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  197.5 	  108.4 	   86.7 	  181.8 
S106	Zalawt plain	S106-5	S106-5		mag	78.6	60.3		1.0	1	1	0	t		100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  273.2 	  207.3 	   19.6 	  106.4 
S106	Zalawt plain	S106-5	S106-5		lt	4.8	33.4		1.0	1	1	0	n		0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  204.8 	  116.5 	   85.3 	  130.1 
S106	Zalawt plain	S106-5	S106-5		mag	87.9	57.8		1.0	1	1	0	t		0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  264.5 	  194.4 	   12.1 	  108.1 
S107	Zalawt plain	S107-1	S107-1		mag	269.4	-52.9		1.0	1	1	0	t		0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  248.9 	  172.1 	   -9.8 	  292.7 
S107	Zalawt plain	S107-1	S107-1		mag	261.8	-55.6		1.0	1	1	0	t		100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  257.3 	  183.9 	  -16.5 	  291.4 
S19B	Zalawt plain	S19B-16:S19B-17:S19B-19:S19B-20:S19B-21	S19B-16:S19B-17:S19B-19:S19B-20:S19B-21	   11.6 	mt	  274.7 	  -60.8 	    45 	5.0	5 	5 	0 	t	4.9103 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   17.7 	   13.5 	   -7.9 	  283.5 
S19B	Zalawt plain	S19B-7	S19B-7		mht	53.4	84.0		1.0	1	1	0	t		100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  354.2 	  348.6 	   23.9 	   65.3 
