,dike,pole_trend,pole_plunge,strike,dip,alpha95,n,k,longitude,latitude
0,SD01,74.11475245377832,14.282920529818629,164.11475245377832,75.71707947018137,7.200987189386001,24,17.860597605563285,54.85287841666667,17.051196
1,SD02,241.14403793969126,1.4208214924499878,331.14403793969126,88.57917850755001,7.332995208934543,16,26.27580528456945,54.850898625,17.052019625
2,SD03,69.56476052653422,5.693407734874987,159.5647605265342,84.30659226512502,6.93826409746962,16,29.23685863631185,54.850245375,17.05172625
3,SD04,74.38567169337733,3.032081207558689,164.38567169337733,86.96791879244131,4.412207649996365,22,50.3404954037199,54.85643854545456,17.052184818181818
4,SD05,37.283707586435895,29.182008540058845,127.2837075864359,60.817991459941155,3.0455723878546066,20,115.81826538336702,54.85841909999999,17.0527586
5,SD06,252.29748771139896,8.37316564508133,342.29748771139896,81.62683435491867,8.566263929802103,10,32.76302433428051,54.8589966,17.0540896
6,SD07,48.677413228463465,8.182579243038246,138.67741322846348,81.81742075696175,6.243022786250731,28,20.044181785942172,54.85903657142857,17.05480664285714
7,SD08,263.7808950760826,0.6693434709710225,353.7808950760826,89.33065652902897,3.414568601243015,30,60.22350762437106,54.86102426666667,17.056606866666666
8,SD09,67.91118974738272,4.185529356293538,157.9111897473827,85.81447064370646,7.407605723762637,20,20.38949436321656,54.862605599999995,17.0579214
9,SD10,209.1777732004509,5.654706963284662,299.17777320045093,84.34529303671533,4.949743267407396,52,16.89176332388094,54.86212173076923,17.062079923076922
10,SD11,32.30079330084796,28.216411928947903,122.30079330084796,61.783588071052094,4.081136170664571,76,16.846306872325396,54.91603565789473,17.042438684210527
11,SD12,54.15784686614097,17.48823801087465,144.15784686614097,72.51176198912535,4.591414591796109,58,17.508166657711893,54.91595751724138,17.042355448275863
12,SD13,35.92778752310538,24.71687133032448,125.92778752310538,65.28312866967552,3.7942105283042125,50,29.168214703860148,54.91748704,17.045783720000003
13,SD14,45.95844411549836,34.789513598887034,135.95844411549837,55.210486401112966,2.9081327553198464,42,58.43499336044018,54.91354376190476,17.057049857142857
14,SD15,280.7192382222459,9.206429283597322,370.7192382222459,80.79357071640268,5.316466006033173,40,19.070494194217865,54.9066463,17.0642203
15,SD16,67.22721745923059,30.375204880860768,157.2272174592306,59.624795119139236,5.4594053167204155,30,24.157671824322264,54.90582000000001,17.063446000000003
16,SD17,46.944106907030914,31.882386192997938,136.9441069070309,58.11761380700206,6.89926124814834,22,21.167058521942515,54.904823909090915,17.060426181818176
17,SD18,53.15833639069659,23.968978810787668,143.1583363906966,66.03102118921234,9.073064725801105,10,29.309296067360652,54.905299,17.0595934
18,SD19,44.71002236084836,29.93873184286096,134.71002236084837,60.06126815713904,3.824913274951176,36,39.976529613717574,54.90296744444444,17.058589166666664
19,SD20,42.89295134757512,31.333933641540114,132.89295134757512,58.66606635845989,3.5657848692548737,34,48.61269252359502,54.90193376470589,17.059308882352944
20,SD21,59.846054634382064,3.700393877362362,149.84605463438206,86.29960612263764,8.596481279932487,20,15.391392367962357,54.8609211,17.0635795
21,SD22,64.41782053684314,9.57068360004289,154.41782053684312,80.42931639995712,6.322931342742935,50,11.13676890016687,54.862783639999996,17.062524240000002
22,SD23,79.6291659433606,13.946973417780768,169.6291659433606,76.05302658221923,6.06489251175956,12,52.18336771730661,54.86276866666666,17.0677895
23,SD24,75.02623712639269,30.87177714331342,165.0262371263927,59.12822285668658,8.072022213210982,11,32.958024567093005,54.83363853181818,17.034434422727273
24,SD25,44.670569019796815,26.877373026999887,134.6705690197968,63.12262697300011,10.271294820661941,9,26.082917743669107,54.83472863666667,17.034447126666667
25,SD26,51.0519099510336,8.232667591950744,141.0519099510336,81.76733240804926,6.925795120087366,19,24.45750119858764,54.83633079578948,17.036047495263162
26,SD27,336.2112662743978,9.618406360800472,426.2112662743978,80.38159363919952,4.492033811214702,31,34.05168455233466,54.83602123838708,17.03712740354839
27,SD28,51.246567274439386,10.194761370595213,141.24656727443937,79.80523862940478,8.902832685577891,10,30.4038246497199,54.865740118,17.068377507999998
28,SD29,74.2848702513374,22.056185410579825,164.2848702513374,67.94381458942017,6.134941233982791,11,56.35301926941765,54.86623104454546,17.06841020272727
29,SD30,60.1220850368822,14.589522474228747,150.1220850368822,75.41047752577126,16.439086145456077,7,14.43487027947281,54.870638317142856,17.06686678571429
30,SD31,77.47953747545735,25.451116944504893,167.47953747545733,64.54888305549511,5.312720478804309,8,109.66912135537345,54.87176685875001,17.0661372925
31,SD32,60.98066353139686,14.52783707408776,150.98066353139686,75.47216292591224,7.631293644097679,14,28.098978035342387,54.87356186,17.06651553428571
32,SD33,70.57810638406686,17.050719956826267,160.57810638406687,72.94928004317373,10.011713397011812,7,37.306475803833735,54.875488941428564,17.070179087142858
33,SD34,58.114930704502186,18.9170227002268,148.11493070450217,71.0829772997732,6.953768540200627,13,36.507862644084035,54.87577254230769,17.07007729923077
34,SD35,65.8266878526017,22.02441916695547,155.8266878526017,67.97558083304453,17.890979465063747,3,48.5345421375355,54.87772824666666,17.070334313333333
35,SD36,41.696055135272566,2.975954079223601,131.69605513527256,87.0240459207764,4.300059118784413,17,69.78670034386316,54.95875408411765,17.14059633823529
36,SD37,47.68306114486621,1.2122968927270228,137.6830611448662,88.78770310727297,4.540250422420918,18,58.940810055410445,54.95851473388889,17.14048274611111
37,SD38,35.38399133501778,6.523515276715854,125.38399133501778,83.47648472328414,4.245421660360015,10,130.44415073922923,54.962612711,17.139661482
38,SD39,55.03746984783152,3.6411396147052204,145.03746984783152,86.35886038529478,6.408496314633839,7,89.68345281594594,54.96215722142857,17.140062637142858
39,SD40,35.49827750494325,1.4885402093503162,125.49827750494325,88.51145979064968,4.779807024650119,19,50.275725385435315,54.96229798105263,17.140294107894732
40,SD42,60.74570886896685,1.099467812190206,150.74570886896686,88.90053218780979,6.391831945349254,8,76.0594342088103,54.96310057625,17.14186320625
41,SD43,44.484216707013196,0.9252176065868711,134.4842167070132,89.07478239341313,8.685399951639733,6,60.462500113474974,54.962609541666666,17.142366503333335
42,SD44,235.73846254284393,1.9883637156504541,325.73846254284393,88.01163628434955,6.121298913929382,8,82.84484791747025,54.9507933875,17.1275323125
43,SD45,41.544764213315915,4.966381249134316,131.54476421331591,85.03361875086568,6.579107769520804,11,49.1264118686915,54.95068054090909,17.127418725454547
44,SD46,230.5744045251103,4.162649886514361,320.5744045251103,85.83735011348564,3.142499014385245,6,455.57542373803466,54.95011842333334,17.126712733333335
45,SD47,41.151989126734826,8.649772385183375,131.15198912673483,81.35022761481662,3.6206376575847314,9,203.17171906723107,54.94985102444445,17.126623116666664
46,SD48,48.3548087183854,2.641560798904473,138.3548087183854,87.35843920109552,4.264928467320335,11,115.5756741127444,54.94903102818182,17.126191086363637
47,SD49,65.59202010646592,10.350243326761055,155.59202010646592,79.64975667323894,4.569045694624946,5,281.4202293553215,54.94554922,17.12557222
48,SD51,53.0,5.0,143.0,85.0,0.0,1,0.0,54.93798,17.189276
49,SD52,228.60003169306307,0.010477926471943023,318.6000316930631,89.98952207352805,4.555198694865941,10,113.43169965832472,54.94135419999999,17.189629
50,SD106,349.3036678272672,4.091581155392133,439.3036678272672,85.90841884460787,4.662313686234963,27,36.5024522302345,54.93417952814814,17.116980716296297
51,SD104,334.1980368166664,10.61342655156981,424.1980368166664,79.38657344843018,4.768026191910744,31,30.33437829079436,54.924118267096766,17.12195252516129
52,SD105,56.252191613359514,0.7029748173744971,146.2521916133595,89.2970251826255,6.554192262442171,7,85.78230216634951,54.924069397142866,17.121841871428572
53,SD102,53.337152937541084,1.9868431995275866,143.33715293754108,88.01315680047242,7.410773603609437,8,56.825841963980395,54.94248711,17.10733385625
54,SD100,48.32846426058545,2.740414426343627,138.32846426058546,87.25958557365637,6.481019445180316,6,107.83315393476096,54.95494449333333,17.135121526666666
55,SD94,233.64298580052565,0.17977163478550587,323.64298580052565,89.82022836521449,9.36435728810349,9,31.18561063221609,54.96173919333334,17.139794235555556
56,SD92,40.13713935376978,1.5692053405999198,130.13713935376978,88.43079465940008,10.345216269154006,8,29.62442907226916,54.96224282125,17.140442748749997
57,SD90,53.09223086784012,4.230756677817435,143.09223086784013,85.76924332218256,1.9843666808113518,31,170.43288545514343,54.96225055483871,17.141081401612908
58,SD89,41.67045280633261,1.930906979114164,131.6704528063326,88.06909302088583,5.271101668468003,11,75.99585348975951,54.962615251818185,17.14160341181818
59,SD88,220.1117682499196,1.248640219722189,310.1117682499196,88.75135978027781,3.1489531328591696,13,174.28295411321284,54.96270710230769,17.14180113615385
60,SD86,42.575300053088874,1.7702238143949462,132.57530005308888,88.22977618560505,5.606567325490719,21,33.12179233905621,54.96760557000001,17.133121494285714
61,SD85,42.41282708452922,6.930640266467032,132.41282708452923,83.06935973353296,8.881436876587069,5,75.17776667938207,55.030382978,17.044001934
62,SD81,65.8203632002741,11.517272226347384,155.8203632002741,78.48272777365261,4.803120533585254,24,38.921689739655086,55.02928639458332,17.040137835833335
63,SD83,62.57317180327451,7.127670626095967,152.5731718032745,82.87232937390404,4.134296672485305,44,28.074623383794336,55.02919053181818,17.038648032727274
64,SD84,60.88302969340199,9.623732327706323,150.883029693402,80.37626767229368,11.967972329924923,22,7.688018887989804,55.02976143136364,17.03745295090909
65,SD82,237.40995571994938,9.682725451563572,327.4099557199494,80.31727454843643,5.991856413125757,7,102.4525639695306,55.02912007285715,17.040543981428574
66,SD78,40.832638449382465,2.982153780403898,130.83263844938247,87.01784621959611,5.488142191124968,4,281.2510646704554,54.950604215,17.1329043625
67,SD76,53.39975115648043,5.3849732423794014,143.39975115648042,84.6150267576206,9.478449403984724,10,26.93615476502977,54.95019678799999,17.130924996
68,SD74,342.0431933783203,5.2793395503655605,432.0431933783203,84.72066044963444,4.410555487795653,36,30.30967146330529,54.95379949555556,17.143954664166664
69,SD75,237.69419695997067,1.4577113753162183,327.69419695997067,88.54228862468378,6.635225054887692,6,102.92274137006729,54.952734889999995,17.143644955000003
70,SD73,34.8249930138364,2.3625968009724803,124.8249930138364,87.63740319902752,6.764220396570806,3,333.21111659577593,54.95211177666666,17.144269713333333
71,SD72,232.335464318196,2.1095926492560784,322.335464318196,87.89040735074393,4.3202565991844875,4,453.27214529242764,54.9519489,17.143904052499998
72,SD71,345.9070516407296,2.8795202134652604,435.9070516407296,87.12047978653474,5.512290409054696,17,42.848655158182495,54.95260792941176,17.11490900882353
73,SD69,6.5106345432131345,2.9712379971423593,96.51063454321313,87.02876200285765,3.5514294820117183,41,40.484190734856824,54.949554702926825,17.115352515121952
74,SD68,348.8780612769667,2.7263449986125186,438.8780612769667,87.27365500138748,1.714216640197538,142,48.63744387654653,54.94787521401408,17.116481929084507
75,SD66,64.63303728692439,6.927209027033074,154.63303728692438,83.07279097296693,2.1586436254103014,19,242.690956039755,54.94318847894736,17.12354716210526
76,SD98,34.690579693598934,1.9075954710694083,124.69057969359893,88.09240452893059,3.406701158924011,9,229.36694637231201,54.95492626777778,17.13471293
77,SD63,219.89850419231087,6.838328569025001,309.89850419231084,83.161671430975,3.9634477558199284,7,232.93195256016645,54.943389020000005,17.12416532142857
78,SD60,37.610543405264025,7.207213960570266,127.61054340526402,82.79278603942973,5.2857335985234055,6,161.64000905733067,54.94430832666668,17.125477661666668
79,SD58,43.878463632077796,4.376088954118312,133.8784636320778,85.62391104588168,5.9088732805872315,11,60.67250961701527,54.946242639999994,17.125047568181813
80,SD57,43.07505387861505,6.561473380047204,133.07505387861505,83.4385266199528,2.3686483158888483,26,144.2284838541214,54.94632292769231,17.125092217692305
81,SD56,38.35392625486521,1.6879714702629396,128.3539262548652,88.31202852973706,3.6300356581013413,16,104.23051704274167,54.946375092500006,17.125186497500003
82,SD55,48.19108491008685,5.547127647632767,138.19108491008686,84.45287235236724,9.317656108729489,15,17.811473334941436,54.946827668666664,17.125272763333328
83,SD54,228.26511946454613,0.18036536344939058,318.26511946454616,89.8196346365506,3.5985942687085903,17,99.22854475349487,54.94720519352941,17.12518203764706
84,SD53,46.53673564726015,4.799626497194039,136.53673564726014,85.20037350280596,4.017239116049685,32,40.97281892242744,54.947974355,17.125263429375
