site,latitude,longitude,thickness,lithology,orientation,locale,comment
SD77,17.1325,54.9506,1.6,mafic,NNW-SSE,Leger,no resolved magnetite component after large lt component
SD78,17.1329,54.9506,1.0,mafic,NNW-SSE,Leger,resolved magnetite component
SD79,17.1335,54.9512,0.7,mafic,NNW-SSE,Leger,resolved magnetite component
SD80,17.1334,54.9512,1.1,felsic,NNW-SSE,Leger,large lt component obscures magnetite component
SD81,17.0404,55.0292,11.8,felsic,NNW-SSE,Sadah,this felsic dike is cross-cut by SD82 mafic dike specimens samples close to SD82 have nicely resolved magnetite component while samples away from the baked zone have poorly resolved magnetite component with remanence dominated by lt component
SD82,17.0404,55.0292,1.3,mafic,NNW-SSE,Sadah,large lt component obscures magnetite component in some specimens with nicely resolve magnetite in others
SD83,17.0374,55.0298,15.8,felsic,NNW-SSE,Sadah,hematite component obscures magnetite component in some specimens with the magnetite being reversed where it is nicely resolved and the hematite being normal
SD84,17.0374,55.0298,1.7,mafic,NNW-SSE,Sadah,nicely resolved magnetite component
SD85,17.0439,55.0304,2.6,mafic,NNW-SSE,Sadah,nicely resolved magnetite component
S85B,17.0439,55.0304,,gneiss,,Sadah,nicely resolved magnetite component that corresponds to SD85 dikes direction in dike proximal samples and poorly resolved directions away from baked zone
SD86,17.1444,54.9623,1.0,mafic,NNW-SSE,Leger,nicely resolved magnetite component
SD87,17.1447,54.9620,0.8,mafic,NNW-SSE,Leger,nicely resolved magnetite component
SD88,17.1419,54.9628,0.1,mafic,NNW-SSE,Leger,nicely resolved magnetite component
SD89,17.1415,54.9627,4.0,mafic,NNW-SSE,Leger,nicely resolved magnetite component
SD90,17.1411,54.9623,1.1,mafic,NNW-SSE,Leger,nicely resolved magnetite component and antiparallel magnetization before magnetite
SD91,17.1408,54.9621,0.8,intermediate,NNW-SSE,Leger,large lt component obscures magnetite component in some specimens
SD92,17.1404,54.9623,3.6,mafic,NNW-SSE,Leger,nicely resolved magnetite component
SD93,17.1399,54.9627,1.3,mafic,NNW-SSE,Leger,large lt component with no resolved magnetite component
SD94,17.1398,54.9617,1.2,mafic,NNW-SSE,Leger,nicely resolved magnetite component
SD95,17.1327,54.9540,8.3,felsic,NNW-SSE,Leger,magnetite component obscured by hematite with similar direction but shallower inclination in some specimens
SD96,17.1326,54.9540,,mafic,NNW-SSE,Leger,magnetite component isolated after large lt component
SD97,17.1345,54.9548,1.4,mafic,NNW-SSE,Leger,nicely resolved magnetite component
SD98,17.1347,54.9549,2.9,mafic,NNW-SSE,Leger,unstable behavior
SD99,17.1348,54.9549,0.9,mafic,NNW-SSE,Leger,nicely resolved magnetite component
S100,17.1351,54.9550,2.1,felsic,NNW-SSE,Leger,no resolved magnetite component
S101,17.1110,54.9426,0.5,mafic,NNW-SSE,Leger,nicely resolved magnetite component
S102,17.1075,54.9425,7.4,mafic,NNW-SSE,Leger,poorly resolved magnetite component
S103,17.1049,54.9430,8.4,mafic,E-W,Leger,nicely resolved magnetite component
S104,17.1219,54.9242,6.5,mafic,E-W,Leger,nicely resolved magnetite component and antiparallel magnetization before magnetite
S105,17.1219,54.9240,9.6,intermediate,NNW-SSE,Leger,poorly resolved magnetite component
S106,17.1171,54.9346,13.2,mafic,E-W,Leger,nicely resolved magnetite component in some specimens
S107,17.1169,54.9329,0.6,mafic,NNW-SSE,Leger,nicely resolved magnetite component
Ayn1,17.0919,54.7689,
Ayn2,17.0928,54.7669,
AynC,17.0928,54.7669,
