localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, rockUnit, timedate, notes
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, 9609715f12e80287f8c7af904ee41342, 272544.592176, 1888290.560065, 17.067706, 54.862774, 40Q, 86.461975, 3.790092, 2.500000, Dike Margin, 79.000000, 268.000000, 178.000000, 0.943000, SD23, Mon Jan 23 17:16:40 2023, 
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, 0d147da59028f9843d1622b22f990ae5, 272543.389468, 1888297.411373, 17.067768, 54.862762, 40Q, 80.803040, 3.790092, 2.500000, Dike Margin, 72.000000, 257.000000, 167.000000, 0.943000, SD23, Mon Jan 23 17:16:16 2023, 
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, b657a127fc46db8b00174d107986ab23, 272542.635637, 1888298.484595, 17.067777, 54.862754, 40Q, 80.509766, 3.790092, 2.500000, Dike Margin, 68.000000, 253.000000, 163.000000, 0.943000, SD23, Mon Jan 23 17:16:05 2023, 
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, c69603bd0c50ca8fa7aff02d9137f2ce, 272542.114287, 1888300.465250, 17.067795, 54.862749, 40Q, 79.595337, 3.790092, 2.500000, Dike Margin, 67.000000, 268.000000, 178.000000, 0.943000, SD23, Mon Jan 23 17:14:29 2023, 
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, b5f6165902f9a6b970870736d3dbcb4b, 272542.410706, 1888300.210707, 17.067793, 54.862752, 40Q, 79.225220, 3.790092, 2.500000, Dike Margin, 78.000000, 260.000000, 170.000000, 0.943000, SD23, Mon Jan 23 17:14:20 2023, 
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, 6992f1a2c87c69d0d049b2785f0b6752, 272549.890155, 1888311.712762, 17.067898, 54.862821, 40Q, 79.599060, 3.790092, 2.500000, Dike Margin, 87.000000, 72.000000, 342.000000, 0.943000, SD23, Mon Jan 23 17:13:51 2023, 
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, efbfd6d0303252945b68bc4d4db9f278, 272424.158928, 1887939.220021, 17.064520, 54.861679, 40Q, 70.647949, 3.790092, 2.500000, Dike Margin, 66.000000, 222.000000, 132.000000, 0.943000, SD22, Mon Jan 23 16:37:58 2023, 
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, 849c187d1e2e7a231fe018412a91ae5c, 272425.040397, 1887939.882331, 17.064527, 54.861687, 40Q, 66.667236, 4.256540, 2.829006, Dike Margin, 63.000000, 231.000000, 141.000000, 0.943000, SD22, Mon Jan 23 16:37:46 2023, 
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, 33c68ad5a4ffdb3c566db62202e4c7ee, 272422.327613, 1887930.780147, 17.064444, 54.861662, 40Q, 67.183105, 3.790092, 2.500000, Dike Margin, 53.000000, 225.000000, 135.000000, 0.943000, SD22, Mon Jan 23 16:37:19 2023, 
e9b7b9667cd8eba19fc087e07b98b00f, Locality 1, e45bfbb57f6eff908061a9e7d91bb979, 272422.762275, 1887931.383145, 17.064450, 54.861666, 40Q, 69.243835, 3.922306, 2.878192, Dike Margin, 56.000000, 217.000000, 127.000000, 0.943000, SD22, Mon Jan 23 16:36:55 2023, 
