tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
AynC-17	AynC-17_LP-DIR-T	AynC-17		mag	305.8	17.3	3.0	17.0	0.0	0.0	7.3	845.0	673.0	K		hargrave 2023-10-06 15:31:55	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-17	AynC-17_LP-DIR-T	AynC-17		lt	356.2	25.0	3.0	3.0	0.0	9.2	3.6	373.0	273.0	K		hargrave 2023-10-06 15:31:55	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-2	AynC-2_LP-DIR-T	AynC-2		mt	26.4	35.7	3.0	5.0	0.0	23.5	2.0	613.0	523.0	K		hargrave 2023-10-06 09:38:31	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-2	AynC-2_LP-DIR-T	AynC-2		lt	8.7	28.8	3.0	4.0	0.0	13.9	2.2	473.0	273.0	K		hargrave 2023-10-06 09:38:31	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-2	AynC-2_LP-DIR-T	AynC-2		mag	278.6	-23.8	3.0	17.0	0.0	0.0	6.0	845.0	653.0	K		hargrave 2023-10-06 09:38:31	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-3	AynC-3_LP-DIR-T	AynC-3		mt	56.6	14.1	3.0	7.0	0.0	16.7	2.8	653.0	523.0	K		hargrave 2023-11-02 09:29:50	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-3	AynC-3_LP-DIR-T	AynC-3		mag	322.9	-1.5	3.0	18.0	0.0	61.5	11.1	863.0	673.0	K		hargrave 2023-11-02 09:29:50	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-3	AynC-3_LP-DIR-T	AynC-3		lt	0.1	21.9	3.0	3.0	0.0	29.2	1.0	373.0	273.0	K		hargrave 2023-11-02 09:29:50	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-4	AynC-4_LP-DIR-T	AynC-4		mag	339.2	13.3	3.0	16.0	0.0	0.0	3.3	863.0	713.0	K		hargrave 2023-10-10 16:56:44	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-4	AynC-4_LP-DIR-T	AynC-4		lt	6.2	21.3	3.0	4.0	0.0	7.2	2.3	473.0	273.0	K		hargrave 2023-10-10 16:56:44	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
